square_id,cluster,mean_level
47,mixed/suburban-2,573.134
48,mixed/suburban-2,841.9873
49,mixed/suburban-2,291.78607
146,mixed/suburban-2,371.93976
147,mixed/suburban-2,1073.4451
148,mixed/suburban-2,411.06335
246,mixed/suburban-2,467.01102
247,mixed/suburban-2,673.7448
249,mixed/suburban-2,200.02133
250,mixed/suburban-2,202.1744
346,mixed/suburban-2,353.96756
347,mixed/suburban-2,600.6003
348,mixed/suburban-2,193.9961
349,mixed/suburban-2,201.55977
350,mixed/suburban-2,199.45406
447,mixed/suburban-2,205.47806
448,mixed/suburban-2,294.0622
449,mixed/suburban-2,195.53207
547,mixed/suburban-2,194.28427
548,mixed/suburban-2,196.21773
647,mixed/suburban-2,203.41055
648,mixed/suburban-2,194.03928
650,mixed/suburban,272.27008
651,mixed/suburban,187.3529
747,mixed/suburban,199.27713
748,mixed/suburban,199.62941
749,mixed/suburban,215.59775
750,business,426.25906
751,business,470.57208
752,business,401.0646
753,mixed/suburban,263.86157
754,business,275.12994
755,business,326.01273
756,business,200.16077
758,business,191.11246
765,mixed/suburban,239.23589
766,mixed/suburban-2,399.3798
767,mixed/suburban-2,353.50293
770,mixed/suburban-2,218.07037
846,mixed/suburban,195.0331
847,mixed/suburban,256.33792
848,mixed/suburban,236.33444
849,business,345.71652
850,business,489.87836
851,business,655.3067
852,business,569.32996
853,business,458.85678
854,business,352.15802
855,business,337.10175
856,business,317.85928
857,business,239.3908
858,business,199.11346
864,mixed/suburban-2,200.26625
865,mixed/suburban-2,418.29218
866,mixed/suburban-2,419.39105
867,mixed/suburban-2,341.3624
868,mixed/suburban-2,275.41046
869,mixed/suburban-2,238.37125
870,mixed/suburban-2,238.37125
946,mixed/suburban,202.4891
947,mixed/suburban,213.05824
948,mixed/suburban,229.17255
949,mixed/suburban,255.25916
950,business,417.4973
951,business,737.36945
952,business,666.9746
953,business,508.24042
954,business,440.3689
955,mixed/suburban,425.1923
956,mixed/suburban-2,392.04807
957,mixed/suburban,265.23645
958,mixed/suburban,217.9761
964,mixed/suburban-2,291.89478
965,mixed/suburban-2,314.40155
966,mixed/suburban-2,291.47607
967,mixed/suburban-2,282.22678
968,mixed/suburban-2,270.81332
969,mixed/suburban-2,238.16876
970,mixed/suburban-2,239.91835
1046,mixed/suburban,210.24971
1047,mixed/suburban,280.4838
1048,mixed/suburban,235.21315
1049,mixed/suburban,235.25046
1050,business,317.0675
1051,business,770.80963
1052,business,727.0832
1053,business,591.89124
1054,business,379.8818
1055,mixed/suburban-2,401.45813
1056,mixed/suburban-2,350.11258
1057,mixed/suburban-2,272.30463
1058,mixed/suburban-2,276.6625
1063,mixed/suburban-2,199.91098
1064,mixed/suburban-2,288.82565
1065,mixed/suburban-2,270.73636
1066,mixed/suburban-2,270.66068
1067,mixed/suburban-2,223.43492
1068,mixed/suburban,195.16402
1069,mixed/suburban-2,212.86122
1070,mixed/suburban-2,300.49762
1071,mixed/suburban-2,291.0575
1075,mixed/suburban,207.50314
1146,mixed/suburban,337.3947
1147,mixed/suburban,632.52655
1148,mixed/suburban,236.54944
1149,mixed/suburban,235.25046
1150,mixed/suburban-2,561.8803
1151,business,924.01166
1152,business,698.2485
1153,business,337.91846
1154,business,228.2389
1155,mixed/suburban,222.72685
1156,mixed/suburban-2,224.07898
1157,mixed/suburban-2,260.69662
1158,mixed/suburban-2,273.05133
1159,mixed/suburban-2,234.75502
1164,mixed/suburban-2,284.4752
1165,mixed/suburban-2,280.4066
1166,mixed/suburban,198.04083
1167,mixed/suburban,195.24385
1168,mixed/suburban,195.24385
1169,mixed/suburban,200.12997
1170,mixed/suburban-2,302.64346
1171,mixed/suburban-2,262.4473
1246,mixed/suburban,497.32358
1247,mixed/suburban,677.63324
1248,mixed/suburban-2,302.14664
