day_type,hour,sms_in,sms_out,call_in,call_out,internet
holiday,0,224191.3,210122.14,74494.92,86587.1,3053679.8
holiday,1,97406.79,89877.375,23202.334,31103.832,2612709.2
holiday,2,52249.562,55375.812,13091.87,19121.344,2243230.2
holiday,3,31335.707,40039.51,8319.594,13692.538,1972535.6
holiday,4,21970.613,32370.166,6010.643,10915.686,1774701.4
holiday,5,19594.693,30207.0,5849.0264,10289.696,1677625.1
holiday,6,23624.705,32747.121,8225.536,13133.382,1675893.9
holiday,7,42499.76,46348.324,14417.717,23721.918,1815959.2
holiday,8,175631.89,88922.086,41602.215,61675.168,2136782.5
holiday,9,262514.47,156176.67,106543.42,143600.3,2630668.2
holiday,10,344241.66,210838.84,182238.27,230489.9,3090578.8
holiday,11,388898.34,232110.28,231049.7,284258.34,3399352.2
holiday,12,378026.8,214706.42,220445.67,265325.2,3522650.2
holiday,13,294505.84,169436.48,148712.52,183219.11,3447112.8
holiday,14,269147.16,164004.58,132459.75,164681.52,3558879.2
holiday,15,271380.1,163627.27,141763.64,172993.53,3667091.5
holiday,16,286761.2,165051.17,165174.98,197101.47,3754806.5
holiday,17,311514.7,172053.1,191586.7,226298.64,3840751.2
holiday,18,299301.1,175758.17,186665.97,225069.98,3839380.5
holiday,19,281385.9,174125.98,171932.61,208273.27,3754134.0
holiday,20,246745.66,164116.75,132798.1,165767.42,3646995.8
holiday,21,219324.34,158770.61,96175.734,119116.625,3576212.5
holiday,22,181695.45,144199.6,59054.207,72578.93,3423764.0
holiday,23,133066.8,118511.95,36795.117,45605.074,3128202.2
weekday,0,71330.85,70693.586,19618.238,26169.922,3043351.5
weekday,1,31758.965,39107.86,8880.009,12750.223,2547562.5
weekday,2,17459.633,28022.004,4943.0947,7923.1123,2207799.8
weekday,3,12610.171,24201.455,3414.2415,7094.591,2003460.6
weekday,4,11659.903,23814.963,3886.025,7326.2812,1880289.2
weekday,5,15856.769,26683.791,6331.243,10407.52,1896282.2
weekday,6,39354.77,42839.82,17521.814,25143.027,2218379.2
weekday,7,137422.9,107679.14,74945.15,93980.555,3236453.0
weekday,8,408285.03,187811.72,218377.6,258186.95,4329704.5
weekday,9,499616.84,224579.12,357480.47,414947.2,4765499.0
weekday,10,545432.0,235095.92,411289.38,465709.7,4962428.0
weekday,11,560854.06,241502.55,427994.66,481546.8,5080782.0
weekday,12,576215.6,249083.33,413066.12,452645.7,5197719.5
weekday,13,534464.9,238942.83,360451.53,398077.94,5397973.0
weekday,14,518961.56,242696.25,376014.97,418502.28,5322763.0
weekday,15,519658.8,237931.67,391460.53,437087.25,5208877.0
weekday,16,528635.4,241528.33,427489.06,473421.75,5221959.5
weekday,17,535455.44,251617.53,446500.75,496314.06,5235580.0
weekday,18,472198.16,249433.9,418136.3,469171.4,5156271.0
weekday,19,434462.5,227171.92,329166.6,377653.1,4802311.0
weekday,20,345127.8,205348.14,221142.7,262368.5,4488661.0
weekday,21,291182.75,199444.92,138290.86,166095.97,4283863.0
weekday,22,222887.45,173387.72,77171.0,92137.29,4044438.0
weekday,23,153322.34,131527.83,47313.1,56898.824,3667550.5
weekend,0,92282.625,82699.05,30888.93,38425.797,3205332.2
weekend,1,52534.613,53443.438,16132.49,21897.219,2718755.8
weekend,2,31501.236,37888.05,8952.155,13595.048,2320600.0
weekend,3,21177.03,30752.748,6291.142,10775.534,2041783.4
weekend,4,16201.263,27261.73,5191.8286,9343.854,1853728.1
weekend,5,15497.405,26418.162,5579.682,9402.064,1768850.4
weekend,6,22103.463,31343.625,9092.267,14061.75,1819181.6
weekend,7,47790.39,48894.832,21413.373,31470.408,2083627.5
weekend,8,201674.98,87183.0,62012.63,85014.984,2551478.2
weekend,9,275357.03,129895.98,141402.77,179244.52,3156090.8
weekend,10,325381.06,154309.94,216964.98,259587.86,3663485.5
weekend,11,345220.22,163716.8,257758.86,301585.66,3968621.2
weekend,12,348193.38,165937.31,250588.72,288997.3,4065801.0
weekend,13,303765.78,156632.33,191055.4,225757.84,4005848.2
weekend,14,295220.9,161457.67,177959.5,209739.2,4118768.2
weekend,15,303169.9,157909.92,187115.27,217993.31,4228538.0
weekend,16,313793.97,159115.1,211897.67,242408.72,4322088.5
weekend,17,342597.28,169661.64,239684.72,274518.28,4385030.5
weekend,18,331547.7,173000.22,233648.23,271550.78,4372938.0
weekend,19,309569.06,169713.66,210383.2,248733.83,4248092.0
weekend,20,260501.69,160969.61,153771.83,186954.19,4091447.2
weekend,21,221516.61,156844.92,103383.664,125804.77,4015477.8
weekend,22,185108.83,141648.53,66496.83,79644.72,3858477.2
weekend,23,134809.66,113785.15,45557.902,54475.883,3548622.8
