model,reference,series,horizon,dm_stat,p_value,better
naive,lightgbm,bocconi,1,-13.116478570438275,5.381906753665899e-30,model
naive,lightgbm,bocconi,6,-5.824601026205105,1.8298246269232845e-08,model
naive,lightgbm,bocconi,24,-5.868721945730976,1.4509248461222578e-08,model
naive,lightgbm,business,1,-15.891545690732183,2.437736236325321e-39,model
naive,lightgbm,business,6,-4.679463712778207,4.8086652105486385e-06,model
naive,lightgbm,business,24,-6.5358798637356035,3.759926667934707e-10,model
naive,lightgbm,business-2,1,2.898288666989711,0.004099331399225713,reference
naive,lightgbm,business-2,6,5.176815804071143,4.772690982744483e-07,reference
naive,lightgbm,business-2,24,0.6562289430585828,0.5123054859004452,reference
naive,lightgbm,duomo,1,-0.39010467055570963,0.6968051428216023,model
naive,lightgbm,duomo,6,4.985907348883696,1.1824859325142306e-06,reference
naive,lightgbm,duomo,24,0.18145259453778995,0.8561654900164876,reference
naive,lightgbm,mixed_suburban,1,-7.372377813441317,2.7035314901054492e-12,model
naive,lightgbm,mixed_suburban,6,1.5328906303160579,0.12661991688499252,reference
naive,lightgbm,mixed_suburban,24,-3.4491612285489013,0.0006640791382301688,model
naive,lightgbm,mixed_suburban-2,1,-16.569270060315116,1.262448038839533e-41,model
naive,lightgbm,mixed_suburban-2,6,-3.0670442748442324,0.0024096629712052078,model
naive,lightgbm,mixed_suburban-2,24,-6.916769128684137,4.1627346128058515e-11,model
naive,lightgbm,navigli,1,-15.450224624497984,7.540619585288807e-38,model
naive,lightgbm,navigli,6,-2.9911287798062585,0.003069154050348212,model
naive,lightgbm,navigli,24,-6.107178793084587,4.0546483200328786e-09,model
seasonal_naive,lightgbm,bocconi,1,-8.517651595174277,1.8101646601211637e-15,model
seasonal_naive,lightgbm,bocconi,6,-6.2187970725471455,2.205964871511319e-09,model
seasonal_naive,lightgbm,bocconi,24,-5.868721945730976,1.4509248461222578e-08,model
seasonal_naive,lightgbm,business,1,-11.290391325079,5.448482209262744e-24,model
seasonal_naive,lightgbm,business,6,-6.631032002837438,2.186167771683314e-10,model
seasonal_naive,lightgbm,business,24,-6.5358798637356035,3.759926667934707e-10,model
seasonal_naive,lightgbm,business-2,1,6.994247453244652,2.634848723422344e-11,reference
seasonal_naive,lightgbm,business-2,6,-0.3967540487251538,0.6919014036313997,model
seasonal_naive,lightgbm,business-2,24,0.6562289430585828,0.5123054859004452,reference
