model,reference,series,horizon,dm_stat,p_value,better
naive,seasonal_naive,bocconi,1,-11.013730200684671,4.224449139914962e-23,model
naive,seasonal_naive,bocconi,6,1.478180915901078,0.14067052251479528,reference
naive,seasonal_naive,bocconi,24,,,reference
naive,seasonal_naive,business,1,-9.53429900794898,1.772613354381539e-18,model
naive,seasonal_naive,business,6,4.821647934889152,2.52909750380997e-06,reference
naive,seasonal_naive,business,24,,,reference
naive,seasonal_naive,business-2,1,-3.9409389997691835,0.00010649067678548111,model
naive,seasonal_naive,business-2,6,5.056112695589085,8.495102864603312e-07,reference
naive,seasonal_naive,business-2,24,,,reference
naive,seasonal_naive,duomo,1,-5.56103207908218,7.13069811288498e-08,model
naive,seasonal_naive,duomo,6,5.06762499932479,8.044042620148128e-07,reference
naive,seasonal_naive,duomo,24,,,reference
naive,seasonal_naive,mixed_suburban,1,-7.311287693730076,3.9248423651763964e-12,model
naive,seasonal_naive,mixed_suburban,6,8.024287911439922,4.52980784186686e-14,reference
naive,seasonal_naive,mixed_suburban,24,,,reference
naive,seasonal_naive,mixed_suburban-2,1,-7.899805949260118,1.0040426423338201e-13,model
naive,seasonal_naive,mixed_suburban-2,6,4.785876414521468,2.976910040588788e-06,reference
naive,seasonal_naive,mixed_suburban-2,24,,,reference
naive,seasonal_naive,navigli,1,-6.50939824726161,4.3684066156552524e-10,model
naive,seasonal_naive,navigli,6,6.481609372560007,5.110876007286914e-10,reference
naive,seasonal_naive,navigli,24,,,reference
weekly_naive,seasonal_naive,bocconi,1,14.264425148604618,7.579839151057249e-34,reference
weekly_naive,seasonal_naive,bocconi,6,6.04707300640451,5.609833954380888e-09,reference
weekly_naive,seasonal_naive,bocconi,24,3.9534156556926585,0.0001014085313076782,reference
weekly_naive,seasonal_naive,business,1,17.750190901966224,1.3698793212894533e-45,reference
weekly_naive,seasonal_naive,business,6,7.650069699747486,4.853408745323412e-13,reference
weekly_naive,seasonal_naive,business,24,4.717422955478585,4.056404215003964e-06,reference
weekly_naive,seasonal_naive,business-2,1,4.5435049443509925,8.768504687296765e-06,reference
weekly_naive,seasonal_naive,business-2,6,2.137493092244236,0.033568894690719456,reference
weekly_naive,seasonal_naive,business-2,24,1.1140815099289196,0.26635867838093025,reference
weekly_naive,seasonal_naive,duomo,1,4.642972854078595,5.657480044379974e-06,reference
weekly_naive,seasonal_naive,duomo,6,1.895001622840127,0.0592940409563005,reference
weekly_naive,seasonal_naive,duomo,24,0.974907208352014,0.3305878893341547,reference
weekly_naive,seasonal_naive,mixed_suburban,1,17.89752915353576,4.409030643295241e-46,reference
weekly_naive,seasonal_naive,mixed_suburban,6,8.114868262091026,2.5274834135767026e-14,reference
weekly_naive,seasonal_naive,mixed_suburban,24,4.509764511690075,1.0156957524875721e-05,reference
weekly_naive,seasonal_naive,mixed_suburban-2,1,18.40936902456247,8.686999223758513e-48,reference
weekly_naive,seasonal_naive,mixed_suburban-2,6,8.231692226622775,1.1847282754224027e-14,reference
weekly_naive,seasonal_naive,mixed_suburban-2,24,4.233704011035478,3.2757283575866705e-05,reference
weekly_naive,seasonal_naive,navigli,1,20.336248989825904,3.9863172466083676e-54,reference
weekly_naive,seasonal_naive,navigli,6,8.987528379816457,7.706241803950292e-17,reference
weekly_naive,seasonal_naive,navigli,24,4.477235026782284,1.1694081620161293e-05,reference
sarima,seasonal_naive,bocconi,1,-10.730041254349082,3.393302027353966e-22,model
sarima,seasonal_naive,bocconi,6,3.8140949736740444,0.00017387631012774144,reference
sarima,seasonal_naive,bocconi,24,11.631641352995809,4.269767759994843e-25,reference
sarima,seasonal_naive,business,1,-10.502785107698674,1.7772576648478354e-21,model
sarima,seasonal_naive,business,6,4.943629446419171,1.440677139245636e-06,reference
sarima,seasonal_naive,business,24,14.232037483040115,9.74446585065654e-34,reference
sarima,seasonal_naive,business-2,1,-8.153717555537108,1.9657951745803698e-14,model
sarima,seasonal_naive,business-2,6,-0.702781250011963,0.48287319305340193,model
sarima,seasonal_naive,business-2,24,0.6883358815313227,0.4919060806781852,reference
sarima,seasonal_naive,duomo,1,-9.366944538517698,5.683826343792106e-18,model
sarima,seasonal_naive,duomo,6,-0.6820850253712614,0.4958429271500753,model
sarima,seasonal_naive,duomo,24,0.6239858080793674,0.5332295472793191,reference
sarima,seasonal_naive,mixed_suburban,1,-8.267352121846194,9.390142491674634e-15,model
sarima,seasonal_naive,mixed_suburban,6,7.909678820508389,9.428569219705407e-14,reference
sarima,seasonal_naive,mixed_suburban,24,8.048120542519964,3.886514363478419e-14,reference
sarima,seasonal_naive,mixed_suburban-2,1,-4.708602818701267,4.220354138706677e-06,model
sarima,seasonal_naive,mixed_suburban-2,6,11.425378282208971,1.9949370905998813e-24,reference
sarima,seasonal_naive,mixed_suburban-2,24,14.472567915690945,1.5070381417134237e-34,reference
sarima,seasonal_naive,navigli,1,-3.85180471702796,0.00015048952811411018,model
sarima,seasonal_naive,navigli,6,11.724677176539561,2.125038686889013e-25,reference
sarima,seasonal_naive,navigli,24,11.629686166021655,4.3327726998695185e-25,reference
lightgbm,seasonal_naive,bocconi,1,8.517651595174277,1.8101646601211637e-15,reference
lightgbm,seasonal_naive,bocconi,6,6.2187970725471455,2.205964871511319e-09,reference
lightgbm,seasonal_naive,bocconi,24,5.868721945730976,1.4509248461222578e-08,reference
lightgbm,seasonal_naive,business,1,11.290391325079,5.448482209262744e-24,reference
lightgbm,seasonal_naive,business,6,6.631032002837438,2.186167771683314e-10,reference
lightgbm,seasonal_naive,business,24,6.5358798637356035,3.759926667934707e-10,reference
lightgbm,seasonal_naive,business-2,1,-6.994247453244652,2.634848723422344e-11,model
