model,series,mean,std
gru,bocconi,259.1489705049911,237.73006087028867
gru,business,990.6332540411962,762.7932866307689
gru,business-2,228.6548503729728,1580.72428875226
gru,duomo,14.015364810574521,730.1214805033031
gru,mixed_suburban,648.2962353388073,472.81583904351703
gru,mixed_suburban-2,878.0017905228707,463.70948146627495
gru,navigli,758.7894617319787,337.5283842883589
lightgbm,bocconi,251.1172976709978,250.42562263154164
lightgbm,business,989.6848635449376,758.5086001476617
lightgbm,business-2,470.22116683315556,1701.7957492561195
lightgbm,duomo,222.4560057642068,814.272439511097
lightgbm,mixed_suburban,542.1736674332161,477.1890658436883
lightgbm,mixed_suburban-2,860.862204128212,521.7738589210775
lightgbm,navigli,573.7588019532668,353.9792525041935
naive,bocconi,1.3226110687889003,71.73954998390174
naive,business,10.020324453773341,273.7223325017377
naive,business-2,-14.406121344981846,2379.850417066337
naive,duomo,-33.77993103280602,710.9637744742847
naive,mixed_suburban,10.022072946382261,413.23987979123683
naive,mixed_suburban-2,8.716557799533195,332.20059737942006
naive,navigli,6.085345889522822,249.15647021260492
sarima,bocconi,29.368583603077617,77.96745709229289
sarima,business,125.21997146018873,219.82928264026907
sarima,business-2,195.50376134369498,1144.4370945619091
sarima,duomo,24.917027449735933,490.15343123320054
sarima,mixed_suburban,267.13560473736806,269.4426515638381
sarima,mixed_suburban-2,343.32909148845204,280.9156090982451
sarima,navigli,232.68681798792352,188.8919424784455
seasonal_naive,bocconi,47.49932316823619,180.1897661031456
seasonal_naive,business,228.6897879319567,608.9049974572457
seasonal_naive,business-2,564.8065177949138,4192.5043578117675
seasonal_naive,duomo,45.14304108045903,1509.1491314135299
seasonal_naive,mixed_suburban,196.10832043406378,688.5673374778677
seasonal_naive,mixed_suburban-2,243.92348318772693,666.3755265660951
seasonal_naive,navigli,132.33036177385893,395.92111756594886
weekly_naive,bocconi,638.441874903762,595.1585202319486
weekly_naive,business,2505.057448517732,1890.3041749623862
weekly_naive,business-2,2601.906410185628,4605.214947595154
weekly_naive,duomo,1010.8023618326148,1776.1707835896334
weekly_naive,mixed_suburban,1758.6730303625843,1124.235942464267
weekly_naive,mixed_suburban-2,1986.4908943651128,1266.080818171761
weekly_naive,navigli,1167.792396133866,731.8344067252908
