model,day_type,hour,rel_err
gru,holiday,0,0.5617928885687536
gru,holiday,1,0.4094273173329845
gru,holiday,2,0.37694470874423536
gru,holiday,3,0.35874935225161064
gru,holiday,4,0.3484118309523653
gru,holiday,5,0.3590508702727805
gru,holiday,6,0.40196133860720334
gru,holiday,7,0.6186658889782847
gru,holiday,8,0.9815885011249675
gru,holiday,9,1.3003715419280695
gru,holiday,10,1.467091269396826
gru,holiday,11,1.5517818806208772
gru,holiday,12,1.5775892666832245
gru,holiday,13,1.6671057823116722
gru,holiday,14,1.5321530575658304
gru,holiday,15,1.3822388000752817
gru,holiday,16,1.259389329653974
gru,holiday,17,1.1243640508008048
gru,holiday,18,1.028261275355285
gru,holiday,19,0.9273587354363177
gru,holiday,20,0.8347692086879303
gru,holiday,21,0.7656116648195327
gru,holiday,22,0.6585380658065021
gru,holiday,23,0.5975738919407033
gru,weekday,0,0.40748714938815367
gru,weekday,1,0.35632860557863666
gru,weekday,2,0.32561972075495116
gru,weekday,3,0.3056319524564423
gru,weekday,4,0.28424407081943925
gru,weekday,5,0.2902372995996815
gru,weekday,6,0.3661160941006376
gru,weekday,7,0.5252658077959966
gru,weekday,8,0.8050275279701105
gru,weekday,9,1.0646612245130231
gru,weekday,10,1.1354412738131434
gru,weekday,11,1.176107633906129
gru,weekday,12,1.2232450576670513
gru,weekday,13,1.2325936179817074
gru,weekday,14,1.161146981007004
gru,weekday,15,1.0970435821076003
gru,weekday,16,1.0449625850988629
gru,weekday,17,0.9472139310721422
gru,weekday,18,0.9146847511171952
gru,weekday,19,0.8963437126098273
gru,weekday,20,0.8026672837018521
gru,weekday,21,0.6905419210240434
gru,weekday,22,0.5933802636283937
gru,weekday,23,0.5249010006780378
gru,weekend,0,0.3605931212316079
gru,weekend,1,0.2915675285183951
gru,weekend,2,0.2907645794628893
gru,weekend,3,0.2871455752248103
gru,weekend,4,0.26830043439351553
gru,weekend,5,0.2344838576203152
gru,weekend,6,0.2186459702954557
gru,weekend,7,0.24583165722166095
gru,weekend,8,0.3197684334089713
gru,weekend,9,0.40766786858688003
gru,weekend,10,0.5197654231747945
gru,weekend,11,0.5888979771352393
gru,weekend,12,0.6656261483367716
gru,weekend,13,0.7292870915163469
gru,weekend,14,0.7176992230822229
gru,weekend,15,0.6626743390706539
gru,weekend,16,0.6486769747314707
gru,weekend,17,0.6095663811294295
gru,weekend,18,0.5684230481859306
gru,weekend,19,0.5256327922615011
gru,weekend,20,0.498723274379735
gru,weekend,21,0.4635848465817392
gru,weekend,22,0.3842566261310837
gru,weekend,23,0.40147612012953066
lightgbm,holiday,0,0.4059015490398788
lightgbm,holiday,1,0.2358403304711904
lightgbm,holiday,2,0.21251455057108284
lightgbm,holiday,3,0.22184201134324982
lightgbm,holiday,4,0.22860389201942924
lightgbm,holiday,5,0.2433045167993062
lightgbm,holiday,6,0.25606745253222235
lightgbm,holiday,7,0.4361401888474245
lightgbm,holiday,8,0.6725963987259882
lightgbm,holiday,9,0.8147074016580031
lightgbm,holiday,10,0.8195430937499515
lightgbm,holiday,11,0.8947631374452434
lightgbm,holiday,12,0.9061021579108443
lightgbm,holiday,13,0.923118289745407
lightgbm,holiday,14,0.835391681851634
lightgbm,holiday,15,0.8006676188647147
lightgbm,holiday,16,0.7794996962360361
lightgbm,holiday,17,0.7406822006808829
lightgbm,holiday,18,0.7157128076860404
lightgbm,holiday,19,0.6306208551003497
lightgbm,holiday,20,0.566000912906615
lightgbm,holiday,21,0.5690853621375584
