model,series,horizon,target_time,y_true,y_pred,rel_err
gru,bocconi,24,2013-12-30 15:00:00,618.7255,4318.785750652583,6.620254908196842
gru,bocconi,24,2013-12-30 16:00:00,681.82465,4280.962697740811,6.439682031799815
gru,bocconi,24,2013-12-30 14:00:00,730.14,4226.531266487626,6.2558444819020504
gru,bocconi,24,2013-12-23 13:00:00,1148.0663,4584.295100804415,6.148200110535945
gru,bocconi,24,2013-12-30 13:00:00,714.8015,4063.8734050556773,5.99225641586471
gru,bocconi,24,2013-12-30 17:00:00,679.7877,3946.969530814647,5.84573631269519
gru,bocconi,24,2013-12-30 12:00:00,709.5839,3880.1118887233397,5.672800452903298
gru,bocconi,24,2013-12-23 14:00:00,1232.2515,4397.36464481193,5.663112162028165
gru,bocconi,24,2013-12-23 12:00:00,1175.6215,4296.076036021202,5.58320769462057
gru,bocconi,24,2013-12-23 15:00:00,1189.7091,4294.834339162966,5.555779989580235
naive,business-2,6,2013-12-22 22:00:00,2822.8306,31133.2734375,4.778053884416326
naive,business-2,6,2013-12-22 23:00:00,1695.4116,28792.47265625,4.573267127074533
lightgbm,bocconi,6,2013-12-23 13:00:00,1148.0663,3606.4965961727617,4.398694709390026
naive,business-2,6,2013-12-22 15:00:00,27933.443,2592.555419921875,4.276871563082863
naive,business-2,6,2013-12-23 13:00:00,26521.53,1211.1356201171875,4.271724938178859
lightgbm,bocconi,6,2013-12-23 14:00:00,1232.2515,3557.7414313757586,4.160833993391126
naive,business-2,6,2013-12-22 21:00:00,3424.0469,27933.443359375,4.1365378002065665
weekly_naive,bocconi,1,2013-12-26 13:00:00,484.39987,2745.087890625,4.044888471868076
weekly_naive,bocconi,24,2013-12-26 13:00:00,484.39987,2745.087890625,4.044888471868076
weekly_naive,bocconi,6,2013-12-26 13:00:00,484.39987,2745.087890625,4.044888471868076
naive,business-2,6,2013-12-23 22:00:00,2307.9531,26143.095703125,4.022741576300436
naive,business-2,6,2013-12-22 16:00:00,31133.273,7999.89453125,3.9043024316493913
weekly_naive,bocconi,6,2013-12-24 13:00:00,746.7422,2923.040771484375,3.8938964512133154
weekly_naive,bocconi,24,2013-12-24 13:00:00,746.7422,2923.040771484375,3.8938964512133154
weekly_naive,bocconi,1,2013-12-24 13:00:00,746.7422,2923.040771484375,3.8938964512133154
naive,business-2,6,2013-12-23 12:00:00,23868.91,841.4344482421875,3.88642877315393
weekly_naive,bocconi,24,2013-12-25 13:00:00,495.33066,2666.556396484375,3.8848199692104974
weekly_naive,bocconi,1,2013-12-25 13:00:00,495.33066,2666.556396484375,3.8848199692104974
weekly_naive,bocconi,6,2013-12-25 13:00:00,495.33066,2666.556396484375,3.8848199692104974
naive,business-2,6,2013-12-23 14:00:00,25403.035,2448.76806640625,3.874073094933555
weekly_naive,bocconi,1,2013-12-24 15:00:00,746.8383,2899.903076171875,3.8523258174578032
naive,business-2,6,2013-12-29 23:00:00,1198.0112,23719.41796875,3.8010177176789384
lightgbm,bocconi,6,2013-12-23 11:00:00,1203.3702,3240.296829212361,3.644528043337183
seasonal_naive,duomo,1,2014-01-01 00:00:00,9820.409,820.0274658203125,3.6401383972004195
seasonal_naive,duomo,24,2014-01-01 00:00:00,9820.409,820.0274658203125,3.6401383972004195
seasonal_naive,duomo,6,2014-01-01 00:00:00,9820.409,820.0274658203125,3.6401383972004195
lightgbm,duomo,24,2014-01-01 00:00:00,9820.409,1012.4744400565374,3.5623046294099945
sarima,duomo,6,2014-01-01 00:00:00,9820.409,1021.345187201469,3.558716920763775
lightgbm,duomo,6,2014-01-01 00:00:00,9820.409,1047.092451687837,3.548303628410263
lightgbm,bocconi,6,2013-12-23 12:00:00,1175.6215,3142.888918951198,3.519891908914926
sarima,duomo,24,2014-01-01 00:00:00,9820.409,1266.402123418334,3.45960543956416
lightgbm,bocconi,6,2013-12-23 10:00:00,1272.5334,3124.6717012337353,3.313899401192934
lightgbm,bocconi,6,2013-12-30 20:00:00,504.60895,2335.68872610875,3.276220966780531
lightgbm,bocconi,6,2013-12-30 19:00:00,550.3639,2342.1162158438856,3.2058551469748524
lightgbm,bocconi,6,2013-12-30 18:00:00,599.5247,2354.516915043018,3.1400828606155047
sarima,business-2,24,2013-12-25 14:00:00,1342.5516,19604.333680496788,3.082105745664479
sarima,business-2,24,2013-12-25 16:00:00,1479.76,19537.88954388261,3.047734588916637
sarima,business-2,24,2013-12-25 15:00:00,1257.4006,19246.821799219833,3.0361384336020074
sarima,business-2,24,2013-12-25 13:00:00,1239.5417,18837.429175819678,2.970057895761295
sarima,bocconi,6,2013-12-22 12:00:00,776.9043,2433.5165041441796,2.9640585360820273
sarima,business-2,24,2013-12-25 17:00:00,1860.7218,18317.51337289916,2.7774710996064296
sarima,bocconi,6,2013-12-22 11:00:00,752.4985,2233.083582324844,2.6491057527588127
sarima,bocconi,6,2013-12-22 10:00:00,777.5441,2194.3679425879964,2.535022198971754
seasonal_naive,duomo,24,2014-01-01 23:00:00,821.97754,6873.9326171875,2.447668860985373
seasonal_naive,duomo,24,2013-12-31 23:00:00,6873.9326,1048.98828125,2.3558560306539107
seasonal_naive,duomo,1,2013-12-31 23:00:00,6873.9326,1048.98828125,2.3558560306539107
seasonal_naive,duomo,6,2013-12-31 23:00:00,6873.9326,1048.98828125,2.3558560306539107
seasonal_naive,business-2,24,2013-12-25 14:00:00,1342.5516,15294.5087890625,2.3547213081466283
seasonal_naive,business-2,1,2013-12-25 14:00:00,1342.5516,15294.5087890625,2.3547213081466283
seasonal_naive,business-2,6,2013-12-25 14:00:00,1342.5516,15294.5087890625,2.3547213081466283
