stage,seconds,rss_start_mb,rss_peak_mb,rss_end_mb,note
ingest:2013-11-01,5.5,108.1,839.5,839.5,308 MB raw
ingest:2013-11-02,4.54,839.5,1026.7,1026.7,301 MB raw
ingest:2013-11-03,4.48,1026.7,1100.3,1100.3,299 MB raw
ingest:2013-11-04,4.99,1100.3,1170.5,1170.5,344 MB raw
ingest:2013-11-05,5.06,1170.5,1216.6,1216.6,356 MB raw
ingest:2013-11-06,5.16,1216.6,1232.9,1232.9,357 MB raw
ingest:2013-11-07,5.04,1232.9,1251.3,1251.3,356 MB raw
ingest:2013-11-08,5.58,1251.3,1341.9,1341.9,359 MB raw
ingest:2013-11-09,4.78,1341.9,1341.9,1325.4,317 MB raw
ingest:2013-11-10,4.44,1325.4,1330.3,1330.3,300 MB raw
ingest:2013-11-11,4.81,1330.3,1330.3,1299.2,336 MB raw
ingest:2013-11-12,5.04,1299.2,1299.2,1265.5,342 MB raw
ingest:2013-11-13,5.13,1265.5,1345.1,1345.1,346 MB raw
ingest:2013-11-14,5.09,1345.1,1345.1,1311.6,347 MB raw
ingest:2013-11-15,5.03,1311.6,1350.8,1350.8,348 MB raw
ingest:2013-11-16,4.64,1350.8,1379.5,1379.5,306 MB raw
ingest:2013-11-17,4.43,1379.5,1379.7,1379.7,293 MB raw
ingest:2013-11-18,5.09,1379.7,1379.7,1279.6,332 MB raw
ingest:2013-11-19,5.22,1279.6,1401.8,1401.8,340 MB raw
ingest:2013-11-20,5.22,1401.8,1418.5,1418.5,343 MB raw
ingest:2013-11-21,5.09,1418.5,1418.5,1397.3,342 MB raw
ingest:2013-11-22,4.96,1397.3,1468.5,1468.5,344 MB raw
ingest:2013-11-23,4.52,1468.5,1468.5,1430.1,303 MB raw
ingest:2013-11-24,4.49,1430.1,1431.0,1431.0,290 MB raw
ingest:2013-11-25,4.84,1431.0,1431.0,1430.7,329 MB raw
ingest:2013-11-26,5.06,1430.7,1430.9,1430.9,336 MB raw
ingest:2013-11-27,5.17,1430.9,1433.2,1433.2,334 MB raw
ingest:2013-11-28,4.91,1433.2,1445.2,1445.2,335 MB raw
ingest:2013-11-29,5.19,1445.2,1445.6,1445.6,335 MB raw
ingest:2013-11-30,4.53,1445.6,1473.4,1473.4,297 MB raw
ingest:2013-12-01,4.6,1473.4,1473.4,1425.7,285 MB raw
ingest:2013-12-02,5.2,1425.7,1438.6,1438.6,326 MB raw
ingest:2013-12-03,5.43,1438.6,1438.6,1293.5,338 MB raw
ingest:2013-12-04,5.3,1293.5,1374.6,1374.6,336 MB raw
ingest:2013-12-05,5.13,1374.6,1401.9,1401.9,337 MB raw
ingest:2013-12-06,5.16,1401.9,1419.1,1419.1,338 MB raw
ingest:2013-12-07,4.66,1419.1,1419.1,1386.0,293 MB raw
ingest:2013-12-08,4.42,1386.0,1398.4,1398.4,280 MB raw
ingest:2013-12-09,5.01,1398.4,1437.3,1437.3,323 MB raw
ingest:2013-12-10,5.12,1437.3,1548.3,1548.3,333 MB raw
ingest:2013-12-11,5.04,1548.3,1548.3,1301.8,335 MB raw
ingest:2013-12-12,5.34,1301.8,1335.1,1335.1,338 MB raw
ingest:2013-12-13,4.93,1335.1,1374.1,1374.1,335 MB raw
ingest:2013-12-14,4.52,1374.1,1456.3,1456.3,296 MB raw
ingest:2013-12-15,4.3,1456.3,1456.3,1346.3,283 MB raw
ingest:2013-12-16,4.87,1346.3,1523.7,1523.7,327 MB raw
ingest:2013-12-17,4.97,1523.7,1551.4,1551.4,335 MB raw
ingest:2013-12-18,4.97,1551.4,1551.4,1519.2,335 MB raw
ingest:2013-12-19,4.89,1519.2,1519.2,1449.1,340 MB raw
ingest:2013-12-20,4.75,1449.1,1449.1,1448.5,333 MB raw
ingest:2013-12-21,4.56,1448.5,1523.8,1523.8,299 MB raw
ingest:2013-12-22,4.31,1523.8,1523.8,1501.9,287 MB raw
ingest:2013-12-23,4.56,1501.9,1513.9,1513.9,311 MB raw
ingest:2013-12-24,4.62,1513.9,1538.6,1538.6,313 MB raw
ingest:2013-12-25,4.72,1538.6,1549.7,1549.7,310 MB raw
ingest:2013-12-26,4.16,1549.7,1549.7,1420.9,268 MB raw
ingest:2013-12-27,4.4,1420.9,1420.9,1321.9,289 MB raw
