model,series,horizon,n,mae,rmse,smape,mase
gru,bocconi,1,241,264.21204179674237,351.33924669216714,34.011076129551086,0.4966862448368
gru,bocconi,6,241,959.1658313754178,1219.4587211199187,82.8779421142225,1.8031141643730242
gru,bocconi,24,241,1243.1526066367676,1580.4114868510617,92.41528883594732,2.3369744836403163
gru,business,1,241,993.5227358547503,1249.3172182670526,29.234605772141986,0.9669244064812956
gru,business,6,241,2893.1545574672587,3247.1537864107145,68.96736568054698,2.8156997845962373
gru,business,24,241,3459.7489785730095,4133.015497158844,73.94325727272553,3.3671254888826723
gru,business-2,1,241,1080.4584502869252,1593.9273234220734,26.560677593092624,0.607467714569707
gru,business-2,6,241,2955.560826107108,4408.529471460291,57.77600176608183,1.6617092307716728
gru,business-2,24,241,3063.383583415832,4486.236889392996,59.234777633633584,1.7223305752977314
gru,duomo,1,241,426.5812990186504,728.7399175442455,17.363927056985496,0.6649598773579064
gru,duomo,6,241,1110.433784809397,1609.4058130411192,41.33519861051495,1.7309570650649864
gru,duomo,24,241,1096.8797009074672,1598.501086134578,42.054945479905676,1.7098288018479626
gru,mixed_suburban,1,241,659.9750683222978,801.8199380494653,18.14480101805862,1.0677085527908434
gru,mixed_suburban,6,241,1664.4493622799614,1892.5496025972554,40.270880246301196,2.692748415953363
gru,mixed_suburban,24,241,2091.5976424856103,2404.76659975718,46.75926015883856,3.3837894779207973
gru,mixed_suburban-2,1,241,882.2066030854694,992.4824438203991,29.58342402833124,1.5427584416822675
gru,mixed_suburban-2,6,241,2196.0614504030905,2306.350032531642,61.69458228690859,3.8403615765434695
gru,mixed_suburban-2,24,241,2309.7808095726787,2540.0781393139064,62.17979293844647,4.039228260070868
gru,navigli,1,241,759.8873146181104,830.1892181252515,32.85609898046229,1.7384125859323423
gru,navigli,6,241,1902.1844543336877,1956.3532660315818,67.02154668446592,4.351673376519499
gru,navigli,24,241,1808.236214734823,1937.8838207363606,63.59202652754766,4.136745716848101
lightgbm,bocconi,1,241,256.92003379049703,354.27767326520956,32.097391419853594,0.48297816382235426
lightgbm,bocconi,6,241,576.6348036818438,762.9393839332657,59.36969140186527,1.0840027325600556
lightgbm,bocconi,24,241,428.111014822141,528.2384739288677,52.98341043094133,0.8047962192762653
lightgbm,business,1,241,996.2380123116659,1245.9631383953415,29.462453860369948,0.9695669902710636
lightgbm,business,6,241,1818.605894470612,2265.666678791921,47.439419513947804,1.7699186557834972
lightgbm,business,24,241,1612.7449126324652,1947.6444730616208,45.3293082022015,1.5695689300067057
lightgbm,business-2,1,241,1122.5796541487919,1762.1576742950353,25.427930671857425,0.6311495798354171
lightgbm,business-2,6,241,2492.8403693714404,3999.445336288098,45.431505131216994,1.4015532402629942
lightgbm,business-2,24,241,2362.9940050263795,4071.6308736608494,43.41439909611387,1.3285495313531948
lightgbm,duomo,1,241,490.2465022604027,842.4815004285366,21.032225624512645,0.7642019347031134
lightgbm,duomo,6,241,928.5466907931365,1480.03445474942,33.66881296681319,1.447429352977564
lightgbm,duomo,24,241,976.7756182589933,1555.847150369293,35.843614792118814,1.5226091645787223
lightgbm,mixed_suburban,1,241,571.9852615737949,721.6071215818713,16.23161579027185,0.9253585251411459
lightgbm,mixed_suburban,6,241,1211.1332180186612,1571.8641182758183,29.426483103255574,1.9593729483370728
lightgbm,mixed_suburban,24,241,1022.5207795000237,1205.3727879506428,27.441232299027885,1.6542354917343314
lightgbm,mixed_suburban-2,1,241,871.5897803674982,1006.0825188648404,30.307695701342784,1.524192277232003
lightgbm,mixed_suburban-2,6,241,1367.363509809478,1554.0666084082318,42.43313826062069,2.3911763868338376
lightgbm,mixed_suburban-2,24,241,1245.3319457770492,1417.0553393160592,41.29651458398343,2.1777737384017444
lightgbm,navigli,1,241,587.0392214887323,673.780788958211,28.23281719753713,1.3429838233117601
lightgbm,navigli,6,241,1052.6806792519258,1199.7015612589212,43.06224127036677,2.408243046798377
lightgbm,navigli,24,241,838.5357652844513,940.3709493221907,38.205604109580705,1.9183385484695084
naive,bocconi,1,241,48.96528061989432,71.6027743778456,8.646148319847645,0.09204872417278034
naive,bocconi,6,241,172.73617224475655,222.10413650446282,31.287257946127383,0.3247228254862555
naive,bocconi,24,241,135.50760305570864,181.1046211156557,22.92125263833711,0.254737679822909
naive,business,1,241,210.94658993289679,273.3375835792725,8.012334602613695,0.20529918330921731
naive,business,6,241,852.2171478904629,1046.1016075542132,32.664254273735835,0.8294018145525749
naive,business,24,241,438.1369856838369,589.3414207257558,15.966008126856575,0.42640729753947315
naive,business-2,1,241,1485.4933018348029,2374.951528732419,27.838972985006073,0.8351910439818934
naive,business-2,6,241,7462.962129584981,10339.038771043795,113.43960659978016,4.195911973824953
naive,business-2,24,241,2604.7452729411143,4350.445565876341,44.7861548901855,1.464469695775523
naive,duomo,1,241,472.85415586099583,710.2909182758268,18.545916244974528,0.7370905433802365
naive,duomo,6,241,2267.296128395682,2988.422486615699,81.46005124119574,3.534287506134049
naive,duomo,24,241,1005.7705650487876,1637.3881264689635,36.815428059525445,1.5678068239831437
naive,mixed_suburban,1,241,332.92601424727695,412.5034092100564,10.28802888359046,0.5386081534292012
naive,mixed_suburban,6,241,1498.5924036809517,1792.784190107161,45.611924810668214,2.4244248053566677
naive,mixed_suburban,24,241,573.092574376783,739.72111980952,16.679365859607028,0.9271499372824722
naive,mixed_suburban-2,1,241,261.1330981749222,331.6252424545833,10.12414953166049,0.4566564002162376
naive,mixed_suburban-2,6,241,949.9159168544152,1142.3960511866635,37.928309699859604,1.6611650768539092
naive,mixed_suburban-2,24,241,437.6043853126621,598.485944828556,16.939000763304783,0.7652604924935965
