model,horizon,mae,rmse,smape,mase
gru,1,723.8347875689923,935.4021865600935,26.822087225517617,1.0121311176644519
gru,6,1954.4300381108458,2377.114384741789,59.991931055577425,2.699466230546036
gru,24,2153.25421947517,2668.6990741921322,62.8827641210064,2.95657468635835
lightgbm,1,699.5140665630546,943.7643451127208,26.113161466535054,0.9486330420452653
lightgbm,6,1349.6864521995853,1833.3883059579537,42.975898806869466,1.7802423376504855
lightgbm,24,1212.4305773287863,1666.5942925156462,40.64486907342393,1.5679816605457817
naive,1,428.6054171215661,631.8607034980574,13.326067240946387,0.4706859979212009
naive,6,1991.874137457829,2632.7602174242943,54.516276571016185,2.0944935886735707
naive,24,786.1885942912484,1215.8008412562037,24.232331305652867,0.8730728105188966
sarima,1,306.55940494300313,443.7034218104764,11.032592923885941,0.398769293688317
sarima,6,1134.1417950290092,1504.3660652479302,35.868813056496386,1.5416771261285704
sarima,24,1734.309434833383,2166.542716751397,54.45832982188431,2.3407630367763375
seasonal_naive,1,757.3967528102946,1200.4621908245902,22.300191691123775,0.8540891103041265
seasonal_naive,6,762.8457387258261,1206.0427461757115,22.950913454526503,0.8627323548311506
seasonal_naive,24,786.1885942912484,1215.8008412562037,24.232331305652867,0.8730728105188966
weekly_naive,1,1831.8264002050953,2449.57671163165,50.97626479454525,2.3800837233423096
weekly_naive,6,1824.6168821071406,2445.2390075009876,51.018168458392196,2.36943982304239
weekly_naive,24,1791.5147827003718,2429.075867309042,51.52561280107502,2.325823171121446
gru,all,1610.5063483850026,1993.7385484980048,49.898927467367145,2.2227240115229456
lightgbm,all,1087.2103653638087,1481.2489811954404,36.57797644894282,1.4322856800805108
naive,all,1068.889382956881,1493.4739207261853,30.69155837253848,1.1460841323712228
sarima,all,1058.336878268465,1371.5374012699347,33.78657860075555,1.4270698188644082
seasonal_naive,all,768.8103619424563,1207.4352594188351,23.161145483767715,0.8632980918847246
weekly_naive,all,1815.9860216708694,2441.2971954805603,51.17334868467081,2.358448905835382
