series,transform,adf_stat,adf_p,kpss_stat,kpss_p,verdict
citywide,raw,-2.137302608364868,0.2297818902642889,3.630511959375116,0.01,non-stationary
citywide,log1p,-1.2572271149391538,0.6485068669353808,3.7037511369846086,0.01,non-stationary
citywide,"log1p, diff 1",-11.908943967471897,5.353163039792488e-22,0.004008446624102873,0.1,stationary
citywide,"log1p, seasonal diff 24",-5.584344517145696,1.3737755015355106e-06,0.22223828085015412,0.1,stationary
citywide,"log1p, diff 1 + seasonal diff 24",-9.817790430131772,5.438924577113526e-17,0.009541431530204739,0.1,stationary
duomo,raw,-3.6695333664965704,0.004562685480794888,0.5844252913712055,0.02405224623898132,inconclusive
duomo,log1p,-3.3888540729353878,0.011344754912751363,1.0225943045064574,0.01,inconclusive
duomo,"log1p, diff 1",-13.194485320107662,1.1266065176569743e-24,0.006507758446412096,0.1,stationary
duomo,"log1p, seasonal diff 24",-6.233264622129463,4.894628789554499e-08,0.03228327005800662,0.1,stationary
duomo,"log1p, diff 1 + seasonal diff 24",-9.48279227859167,3.8327524773461685e-16,0.09401200849911259,0.1,stationary
bocconi,raw,-3.524244879462096,0.0073858337371041265,2.1580425843050657,0.01,inconclusive
bocconi,log1p,-2.4221527016151296,0.13558133523082222,2.5416812199507293,0.01,non-stationary
bocconi,"log1p, diff 1",-8.415315767676134,2.0512380684759211e-13,0.008425552761190051,0.1,stationary
bocconi,"log1p, seasonal diff 24",-5.153766626039952,1.0918286830296905e-05,0.15855739810033004,0.1,stationary
bocconi,"log1p, diff 1 + seasonal diff 24",-13.091107700121084,1.787756552904988e-24,0.008884610792280832,0.1,stationary
navigli,raw,0.31334782240798154,0.977948656620446,3.906653474706066,0.01,non-stationary
navigli,log1p,0.5839503348046184,0.9872132787337117,3.644792014743704,0.01,non-stationary
navigli,"log1p, diff 1",-14.382019718422672,9.119400627254685e-27,0.0023997662422715056,0.1,stationary
navigli,"log1p, seasonal diff 24",-6.05964076515623,1.2213298892863958e-07,0.5171256894019524,0.037809529413974696,inconclusive
navigli,"log1p, diff 1 + seasonal diff 24",-12.933923108610395,3.6515323026897145e-24,0.039624919811601475,0.1,stationary
business,raw,-2.5378545249395184,0.10653342486788464,2.1925282225259792,0.01,non-stationary
business,log1p,-1.362612683923983,0.6000631093267434,2.321515043899229,0.01,non-stationary
business,"log1p, diff 1",-8.063181692391149,1.6222812863486817e-12,0.005673572670438311,0.1,stationary
business,"log1p, seasonal diff 24",-5.147372163450177,1.1248967151216379e-05,0.3265433693869772,0.1,stationary
business,"log1p, diff 1 + seasonal diff 24",-11.057126043321897,4.912903692528811e-20,0.007372861884155384,0.1,stationary
business-2,raw,-3.900012214359663,0.0020347572172046673,0.7095981111165134,0.012672898989407873,inconclusive
business-2,log1p,-1.7622971525174376,0.39933414743261103,1.783173691089633,0.01,non-stationary
business-2,"log1p, diff 1",-10.231092460720303,5.0266048893121636e-18,0.039425340142887566,0.1,stationary
business-2,"log1p, seasonal diff 24",-5.555304947469124,1.5858925972937903e-06,0.11311106851720866,0.1,stationary
business-2,"log1p, diff 1 + seasonal diff 24",-10.735985993551731,2.8983089221904494e-19,0.020910742161460806,0.1,stationary
mixed_suburban,raw,-0.6583941044677719,0.8572341500557663,2.1206450079055834,0.01,non-stationary
mixed_suburban,log1p,-0.2177188878593946,0.9363763521942113,2.1292382947985358,0.01,non-stationary
mixed_suburban,"log1p, diff 1",-13.372319736689672,5.168607407311374e-25,0.002994786861043959,0.1,stationary
mixed_suburban,"log1p, seasonal diff 24",-5.6533540957558595,9.746006678934528e-07,0.6407340874945562,0.018933264773222165,inconclusive
mixed_suburban,"log1p, diff 1 + seasonal diff 24",-11.376507592757697,8.719121635654155e-21,0.025410025167767667,0.1,stationary
mixed_suburban-2,raw,-0.06915030578529469,0.952425901895753,2.6591243244265326,0.01,non-stationary
mixed_suburban-2,log1p,0.4537676051084483,0.9833980534163663,2.61242643694595,0.01,non-stationary
mixed_suburban-2,"log1p, diff 1",-12.638558608352968,1.451794590121051e-23,0.0029269799337999255,0.1,stationary
mixed_suburban-2,"log1p, seasonal diff 24",-5.67583723265467,8.709306421816943e-07,0.45744889293274466,0.05239271856347214,stationary
mixed_suburban-2,"log1p, diff 1 + seasonal diff 24",-13.287000027939646,7.493403438555077e-25,0.03153120901702696,0.1,stationary
